time,x,y,theta
1782920778.3120613,0.356885,-1.322940,0.885656
1782920778.3620756,0.356891,-1.322940,0.885696
1782920778.4031627,0.356884,-1.322940,0.885648
1782920778.4526832,0.356892,-1.322940,0.885705
1782920778.5205786,0.356886,-1.322940,0.885660
1782920778.5623798,0.356888,-1.322940,0.885675
1782920778.6141603,0.356894,-1.322940,0.885721
1782920778.664065,0.356890,-1.322940,0.885693
1782920778.7103217,0.356893,-1.322940,0.885717
1782920778.7610643,0.356883,-1.322940,0.885641
1782920778.8031597,0.356883,-1.322940,0.885640
1782920778.8525124,0.356889,-1.322940,0.885681
1782920778.9205718,0.356879,-1.322940,0.885609
1782920778.9626992,0.356879,-1.322940,0.885608
1782920779.0130818,0.356880,-1.322940,0.885612
1782920779.063137,0.356877,-1.322940,0.885595
1782920779.1111019,0.356883,-1.322940,0.885640
1782920779.161068,0.356877,-1.322940,0.885596
1782920779.2040708,0.356886,-1.322940,0.885659
1782920779.2522511,0.356888,-1.322940,0.885678
1782920779.302926,0.356884,-1.322940,0.885646
1782920779.3621905,0.356887,-1.322940,0.885670
1782920779.414115,0.356882,-1.322940,0.885630
1782920779.4630706,0.356884,-1.322940,0.885645
1782920779.5111074,0.356886,-1.322940,0.885658
1782920779.561127,0.356883,-1.322940,0.885635
1782920779.6021817,0.356887,-1.322940,0.885666
1782920779.6523242,0.356885,-1.322940,0.885654
1782920779.7027266,0.356883,-1.322940,0.885637
1782920779.7624345,0.356880,-1.322940,0.885613
1782920779.8130753,0.356872,-1.322940,0.885553
1782920779.8631678,0.356876,-1.322940,0.885585
1782920779.9110825,0.356868,-1.322940,0.885524
1782920779.9610548,0.356870,-1.322940,0.885538
1782920780.003429,0.356870,-1.322940,0.885542
1782920780.0531542,0.356864,-1.322941,0.885498
1782920780.120579,0.356874,-1.322940,0.885570
1782920780.162393,0.356874,-1.322940,0.885570
1782920780.2140946,0.356874,-1.322940,0.885567
1782920780.2630816,0.356874,-1.322940,0.885567
1782920780.314186,0.356867,-1.322941,0.885517
1782920780.3600574,0.356873,-1.322940,0.885562
1782920780.404106,0.356873,-1.322940,0.885562
1782920780.4522207,0.356868,-1.322941,0.885523
1782920780.519672,0.356870,-1.322940,0.885541
1782920780.563205,0.356870,-1.322940,0.885541
1782920780.6131103,0.356864,-1.322941,0.885496
1782920780.663095,0.356864,-1.322941,0.885496
1782920780.7142148,0.356855,-1.322941,0.885424
1782920780.7601006,0.356859,-1.322941,0.885459
1782920780.8041112,0.356859,-1.322941,0.885459
1782920780.8534694,0.356862,-1.322941,0.885477
1782920780.9031286,0.356862,-1.322941,0.885477
1782920780.9633656,0.356862,-1.322941,0.885480
1782920781.012186,0.356869,-1.322940,0.885536
1782920781.0631366,0.356869,-1.322940,0.885536
1782920781.1141016,0.356868,-1.322940,0.885523
1782920781.1601105,0.356859,-1.322941,0.885457
1782920781.2040966,0.356859,-1.322941,0.885457
1782920781.252242,0.356867,-1.322940,0.885518
1782920781.3193095,0.356859,-1.322941,0.885457
1782920781.3635786,0.356859,-1.322941,0.885457
1782920781.4131014,0.356860,-1.322941,0.885465
