time,x,y,theta
1778594586.0647433,-0.332108,1.169506,1.979814
1778594586.1121826,-0.332024,1.169370,1.967223
1778594586.1618707,-0.332152,1.169235,1.954653
1778594586.2041414,-0.332265,1.169168,1.943946
1778594586.2535129,-0.332454,1.169024,1.930595
1778594586.3053372,-0.332645,1.168848,1.915858
1778594586.363602,-0.332635,1.168712,1.899444
1778594586.4137633,-0.332545,1.168459,1.886387
1778594586.4647176,-0.332390,1.168304,1.873389
1778594586.511927,-0.332290,1.168153,1.861283
1778594586.5616782,-0.332388,1.168052,1.848792
1778594586.6035185,-0.332573,1.167980,1.837309
1778594586.6718397,-0.333082,1.167830,1.819165
1778594586.7037961,-0.333377,1.167896,1.809874
1778594586.7635984,-0.333743,1.167665,1.792766
1778594586.8138406,-0.333899,1.167548,1.779925
1778594586.8637724,-0.333999,1.167501,1.766594
1778594586.9114325,-0.334160,1.167431,1.754007
1778594586.9617124,-0.334334,1.167347,1.739709
1778594587.0036354,-0.334584,1.167258,1.728575
1778594587.0543284,-0.334903,1.167203,1.715236
1778594587.1039739,-0.335113,1.167150,1.701030
1778594587.163539,-0.335437,1.166980,1.685067
1778594587.214332,-0.335500,1.166872,1.672668
1778594587.2635286,-0.335650,1.166722,1.660656
1778594587.312321,-0.335762,1.166524,1.647827
1778594587.3604019,-0.335824,1.166278,1.635394
1778594587.4034545,-0.335727,1.166073,1.624107
1778594587.453883,-0.335751,1.165832,1.610142
1778594587.503717,-0.335779,1.165603,1.596970
1778594587.5639992,-0.335655,1.165308,1.581035
1778594587.6134844,-0.335452,1.165097,1.568171
1778594587.663675,-0.335609,1.165085,1.554540
1778594587.7105443,-0.335843,1.164902,1.541586
1778594587.7604144,-0.336014,1.164668,1.528707
1778594587.8033872,-0.336245,1.164663,1.517487
1778594587.8534408,-0.336466,1.164585,1.503858
1778594587.9041004,-0.336601,1.164649,1.490989
1778594587.9549098,-0.336830,1.164573,1.477417
1778594588.0135057,-0.337068,1.164500,1.461609
1778594588.0634053,-0.337272,1.164264,1.447428
1778594588.1147654,-0.337535,1.164073,1.435180
1778594588.160402,-0.337630,1.164054,1.423785
1778594588.203935,-0.337718,1.163978,1.411866
1778594588.2535417,-0.337902,1.163948,1.398932
1778594588.3038862,-0.338038,1.163974,1.385585
1778594588.3640354,-0.338117,1.163747,1.370075
1778594588.4135528,-0.338046,1.163491,1.355833
1778594588.463417,-0.338238,1.163256,1.342939
1778594588.5153456,-0.338473,1.163195,1.329827
1778594588.5605197,-0.338654,1.163109,1.317898
1778594588.6035957,-0.338943,1.163147,1.306774
1778594588.653436,-0.339123,1.163065,1.293510
1778594588.720823,-0.339302,1.162773,1.276174
1778594588.7638981,-0.339262,1.162615,1.263811
1778594588.813526,-0.339294,1.162290,1.250617
1778594588.8634539,-0.339423,1.162043,1.237462
1778594588.914425,-0.339578,1.161913,1.224011
1778594588.9604397,-0.339760,1.161862,1.212388
1778594589.0036132,-0.339848,1.161977,1.200668
1778594589.0534375,-0.340057,1.161834,1.186916
1778594589.1203208,-0.340322,1.161662,1.169362
1778594589.163779,-0.340489,1.161600,1.157592
1778594589.2144573,-0.340743,1.161519,1.144542
1778594589.2634265,-0.340847,1.161420,1.131776
1778594589.3145218,-0.340857,1.161153,1.118647
1778594589.3594844,-0.340786,1.161068,1.106242
1778594589.4034395,-0.340843,1.161085,1.092528
1778594589.4554741,-0.341071,1.160995,1.078601
1778594589.5043132,-0.341333,1.160779,1.066669
1778594589.563876,-0.341591,1.160691,1.052215
1778594589.614082,-0.341814,1.160569,1.038378
1778594589.6635234,-0.341976,1.160511,1.025721
1778594589.7134218,-0.342069,1.160433,1.012612
1778594589.759663,-0.342275,1.160285,0.999915
1778594589.803582,-0.342487,1.160257,0.988404
1778594589.8539295,-0.342771,1.160255,0.974111
1778594589.904225,-0.343028,1.160240,0.960728
1778594589.9536092,-0.343180,1.160122,0.947051
1778594590.0136034,-0.343455,1.159942,0.930628
1778594590.0634496,-0.343494,1.159922,0.919165
1778594590.1134226,-0.343583,1.159921,0.906621
1778594590.1584728,-0.343620,1.159996,0.892331
1778594590.2034438,-0.343431,1.160231,0.876498
1778594590.2539983,-0.343435,1.160657,0.860662
1778594590.3201187,-0.343321,1.161036,0.851060
1778594590.3637476,-0.342935,1.161475,0.847681
1778594590.4135802,-0.342526,1.161921,0.840084
1778594590.4634569,-0.342229,1.162436,0.833108
1778594590.513437,-0.341851,1.162931,0.827122
1778594590.565473,-0.341503,1.163402,0.820154
1778594590.6034718,-0.341073,1.163817,0.814920
1778594590.653436,-0.340670,1.164341,0.807915
1778594590.7043424,-0.340264,1.164811,0.802050
1778594590.7636924,-0.339716,1.165501,0.794415
1778594590.8134756,-0.339287,1.166024,0.788157
1778594590.8634574,-0.338860,1.166492,0.781541
1778594590.9134574,-0.338441,1.166924,0.775579
1778594590.9644334,-0.337972,1.167355,0.769344
1778594591.0034525,-0.337591,1.167663,0.764435
1778594591.0536532,-0.337140,1.168145,0.758226
1778594591.1244524,-0.336372,1.168860,0.750453
1778594591.1534886,-0.335944,1.169465,0.750453
1778594591.2137077,-0.334590,1.170902,0.752684
1778594591.2634466,-0.333377,1.171740,0.752684
1778594591.3134332,-0.332621,1.172624,0.752684
1778594591.3634195,-0.331628,1.173527,0.752684
1778594591.4034567,-0.330835,1.174271,0.752684
1778594591.4741046,-0.329461,1.175528,0.751473
1778594591.524716,-0.328549,1.176446,0.751473
1778594591.553758,-0.327954,1.177100,0.751473
1778594591.6134844,-0.326591,1.178194,0.751473
1778594591.663468,-0.325730,1.179226,0.751473
1778594591.7135231,-0.324958,1.180122,0.751473
1778594591.7594113,-0.324090,1.181001,0.751473
1778594591.8084886,-0.322939,1.181948,0.751905
1778594591.858874,-0.322007,1.182760,0.751368
1778594591.9196904,-0.320821,1.183883,0.752120
1778594591.9691167,-0.319773,1.184842,0.751674
1778594592.0185106,-0.318680,1.185834,0.751867
1778594592.0584705,-0.317845,1.186645,0.751956
1778594592.1144435,-0.316761,1.187709,0.751956
1778594592.1644304,-0.315751,1.188679,0.751956
1778594592.203463,-0.314958,1.189423,0.751956
1778594592.2534852,-0.313898,1.190332,0.752345
1778594592.304115,-0.312922,1.191166,0.752345
1778594592.363465,-0.311881,1.192218,0.752345
1778594592.4175787,-0.310863,1.193227,0.752807
1778594592.4594758,-0.310099,1.194012,0.753000
1778594592.5094566,-0.309085,1.194972,0.754400
1778594592.5604308,-0.308039,1.195859,0.754606
1778594592.607482,-0.307192,1.196728,0.754571
1778594592.6574872,-0.306158,1.197731,0.754132
1778594592.7204907,-0.304987,1.198891,0.754156
1778594592.7674816,-0.304050,1.199825,0.754156
1778594592.8175633,-0.303138,1.200745,0.754280
1778594592.8594782,-0.302332,1.201556,0.754683
1778594592.909451,-0.301287,1.202505,0.754032
1778594592.959564,-0.300314,1.203463,0.754188
1778594593.006512,-0.299431,1.204316,0.754216
1778594593.0692036,-0.298180,1.205475,0.754009
1778594593.1195085,-0.297098,1.206486,0.753927
1778594593.1676898,-0.296187,1.207404,0.752576
1778594593.217499,-0.295197,1.208284,0.753603
1778594593.2594805,-0.294293,1.209066,0.753603
1778594593.3084605,-0.293267,1.209997,0.753433
1778594593.364458,-0.292060,1.211058,0.753433
1778594593.4055638,-0.291244,1.211719,0.753433
1778594593.4537623,-0.290376,1.212627,0.753433
1778594593.5252578,-0.288845,1.214014,0.752533
1778594593.5665574,-0.288135,1.214776,0.752533
1778594593.613511,-0.287210,1.215722,0.752533
1778594593.6634848,-0.286185,1.216706,0.752533
1778594593.713458,-0.285061,1.217756,0.752533
1778594593.7644374,-0.284026,1.218670,0.752533
1778594593.8055227,-0.283275,1.219416,0.752533
1778594593.8539054,-0.282210,1.220371,0.752533
1778594593.9249303,-0.280810,1.221741,0.752533
1778594593.9663143,-0.279867,1.222559,0.753017
1778594594.0135062,-0.278931,1.223436,0.753017
1778594594.063494,-0.277865,1.224433,0.753017
1778594594.1134617,-0.276677,1.225355,0.753017
1778594594.1644363,-0.275740,1.226260,0.753017
1778594594.204548,-0.274930,1.227087,0.753017
1778594594.253641,-0.273905,1.228113,0.753017
1778594594.3043666,-0.272881,1.229098,0.753017
1778594594.3535228,-0.271759,1.230106,0.753017
1778594594.4135451,-0.270603,1.231294,0.753017
1778594594.4635026,-0.269371,1.232270,0.753017
1778594594.5134642,-0.268376,1.233242,0.753017
1778594594.5644696,-0.267382,1.234186,0.753017
1778594594.604568,-0.266630,1.234959,0.753017
1778594594.6537457,-0.265774,1.235909,0.753017
1778594594.7252784,-0.264356,1.237298,0.752518
1778594594.7534328,-0.263821,1.237844,0.752518
1778594594.8137226,-0.262652,1.238975,0.752518
1778594594.8634973,-0.261745,1.239797,0.752518
1778594594.9142537,-0.260804,1.240681,0.753389
1778594594.964452,-0.259878,1.241642,0.753389
1778594595.0045736,-0.259103,1.242410,0.753988
